,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD_m2,No_of_storeys,Dwl_per_storey,Dwl_area_m2
3837,AREA # 09103,Cunco,MCF/DNO/H:1,4.2,4.2,35000.0,1.0,1,70
3838,AREA # 09103,Cunco,"MCF/DNO/H:1,3",60.85,40.6,84000.0,1.5,1,70
3839,AREA # 09103,Cunco,"MCF/DUC/H:1,3",38.65,9.7,256000.0,2.0,2,80
3840,AREA # 09103,Cunco,"MR/DNO/H:1,3",51.85,10.4,320000.0,2.5,2,80
3841,AREA # 09103,Cunco,"MR/DUC/H:1,3",10.489999999999998,2.1,385000.0,2.5,2,70
3842,AREA # 09103,Cunco,"MUR+STDRE/H:1,2",0.74,0.6,43750.0,1.25,1,70
3843,AREA # 09103,Cunco,"MUR/H:1,3",8.420000000000002,5.6,52500.0,1.5,1,70
3844,AREA # 09103,Cunco,UNK,168.0,168.0,35000.0,1.0,1,70
3845,AREA # 09103,Cunco,W+WLI/H:1,38.2,38.2,64000.0,1.0,1,80
3846,AREA # 09103,Cunco,"W+WLI/H:1,3",1273.2000000000003,848.8,96000.0,1.5,1,80
3847,AREA # 09103,Cunco,W+WS/H:1,74.80000000000001,74.8,35000.0,1.0,1,70
3848,AREA # 09103,Cunco,"W+WS/H:1,2",319.80000000000007,255.8,43750.0,1.25,1,70
3849,AREA # 09104,Curarrehue,"CR+PC/LWAL/H:1,3",3.4,0.7,320000.0,2.5,2,80
3850,AREA # 09104,Curarrehue,"CR/LWAL/DNO/H:1,3",0.6,0.1,256000.0,2.0,2,80
3851,AREA # 09104,Curarrehue,"CR/LWAL/DNO/H:4,7",0.5,0.0,960000.0,5.0,3,80
3852,AREA # 09104,Curarrehue,"CR/LWAL/DUC/H:1,3",0.5,0.1,308000.0,2.0,2,70
3853,AREA # 09104,Curarrehue,"CR/LWAL/DUC/H:4,7",0.7,0.0,1155000.0,5.0,3,70
3854,AREA # 09104,Curarrehue,"CR/LWAL/DUC/H:8,19",0.6,0.0,3696000.0,12.0,4,70
3855,AREA # 09104,Curarrehue,MCF/DNO/H:1,0.2,0.2,35000.0,1.0,1,70
3856,AREA # 09104,Curarrehue,"MCF/DNO/H:1,3",5.949999999999999,4.0,84000.0,1.5,1,70
3857,AREA # 09104,Curarrehue,"MCF/DUC/H:1,3",4.1000000000000005,1.0,256000.0,2.0,2,80
3858,AREA # 09104,Curarrehue,"MR/DNO/H:1,3",5.3,1.1,320000.0,2.5,2,80
3859,AREA # 09104,Curarrehue,"MR/DUC/H:1,3",1.2700000000000002,0.3,385000.0,2.5,2,70
3860,AREA # 09104,Curarrehue,"MUR+STDRE/H:1,2",0.02,0.0,43750.0,1.25,1,70
3861,AREA # 09104,Curarrehue,"MUR/H:1,3",0.8600000000000001,0.6,52500.0,1.5,1,70
3862,AREA # 09104,Curarrehue,UNK,9.7,9.7,35000.0,1.0,1,70
3863,AREA # 09104,Curarrehue,W+WLI/H:1,19.700000000000003,19.7,64000.0,1.0,1,80
3864,AREA # 09104,Curarrehue,"W+WLI/H:1,3",374.20000000000005,249.5,96000.0,1.5,1,80
3865,AREA # 09104,Curarrehue,W+WS/H:1,4.6,4.6,35000.0,1.0,1,70
3866,AREA # 09104,Curarrehue,"W+WS/H:1,2",93.80000000000001,75.0,43750.0,1.25,1,70
3867,AREA # 09105,Freire,"CR+PC/LWAL/H:1,3",13.600000000000001,2.7,320000.0,2.5,2,80
3868,AREA # 09105,Freire,"CR/LWAL/DNO/H:1,3",5.999999999999999,1.5,256000.0,2.0,2,80
3869,AREA # 09105,Freire,"CR/LWAL/DNO/H:4,7",0.35,0.0,960000.0,5.0,3,80
3870,AREA # 09105,Freire,"CR/LWAL/DUC/H:1,3",4.9,1.2,308000.0,2.0,2,70
3871,AREA # 09105,Freire,"CR/LWAL/DUC/H:4,7",0.44999999999999996,0.0,1155000.0,5.0,3,70
3872,AREA # 09105,Freire,"CR/LWAL/DUC/H:8,19",0.3,0.0,3696000.0,12.0,4,70
3873,AREA # 09105,Freire,MCF/DNO/H:1,3.6,3.6,35000.0,1.0,1,70
3874,AREA # 09105,Freire,"MCF/DNO/H:1,3",31.55,21.0,84000.0,1.5,1,70
3875,AREA # 09105,Freire,"MCF/DUC/H:1,3",19.2,4.8,256000.0,2.0,2,80
3876,AREA # 09105,Freire,"MR/DNO/H:1,3",29.65,5.9,320000.0,2.5,2,80
3877,AREA # 09105,Freire,"MR/DUC/H:1,3",7.78,1.6,385000.0,2.5,2,70
3878,AREA # 09105,Freire,"MUR+STDRE/H:1,2",0.28,0.2,43750.0,1.25,1,70
3879,AREA # 09105,Freire,"MUR/H:1,3",10.340000000000002,6.9,52500.0,1.5,1,70
3880,AREA # 09105,Freire,UNK,380.9,380.9,35000.0,1.0,1,70
3881,AREA # 09105,Freire,W+WLI/H:1,70.0,70.0,64000.0,1.0,1,80
3882,AREA # 09105,Freire,"W+WLI/H:1,3",945.9000000000002,630.6,96000.0,1.5,1,80
3883,AREA # 09105,Freire,W+WS/H:1,170.1,170.1,35000.0,1.0,1,70
3884,AREA # 09105,Freire,"W+WS/H:1,2",240.10000000000005,192.1,43750.0,1.25,1,70
3885,AREA # 09106,Galvarino,"CR+PC/LWAL/H:1,3",2.4,0.5,320000.0,2.5,2,80
3886,AREA # 09106,Galvarino,"CR/LWAL/DNO/H:1,3",7.8,1.9,256000.0,2.0,2,80
3887,AREA # 09106,Galvarino,"CR/LWAL/DUC/H:1,3",4.1000000000000005,1.0,308000.0,2.0,2,70
3888,AREA # 09106,Galvarino,MCF/DNO/H:1,3.2,3.2,35000.0,1.0,1,70
3889,AREA # 09106,Galvarino,"MCF/DNO/H:1,3",12.8,8.5,84000.0,1.5,1,70
3890,AREA # 09106,Galvarino,"MCF/DUC/H:1,3",7.100000000000001,1.8,256000.0,2.0,2,80
3891,AREA # 09106,Galvarino,"MR/DNO/H:1,3",13.1,2.6,320000.0,2.5,2,80
3892,AREA # 09106,Galvarino,"MR/DUC/H:1,3",3.6600000000000006,0.7,385000.0,2.5,2,70
3893,AREA # 09106,Galvarino,"MUR+STDRE/H:1,2",0.26,0.2,43750.0,1.25,1,70
3894,AREA # 09106,Galvarino,"MUR/H:1,3",8.58,5.7,52500.0,1.5,1,70
3895,AREA # 09106,Galvarino,UNK,53.49999999999999,53.5,35000.0,1.0,1,70
3896,AREA # 09106,Galvarino,W+WLI/H:1,17.900000000000002,17.9,64000.0,1.0,1,80
3897,AREA # 09106,Galvarino,"W+WLI/H:1,3",560.7,373.8,96000.0,1.5,1,80
3898,AREA # 09106,Galvarino,W+WS/H:1,25.599999999999998,25.6,35000.0,1.0,1,70
3899,AREA # 09106,Galvarino,"W+WS/H:1,2",140.3,112.2,43750.0,1.25,1,70
3900,AREA # 09107,Gorbea,"CR+PC/LWAL/H:1,3",10.2,2.0,320000.0,2.5,2,80
3901,AREA # 09107,Gorbea,"CR/LWAL/DNO/H:1,3",11.4,2.9,256000.0,2.0,2,80
3902,AREA # 09107,Gorbea,"CR/LWAL/DNO/H:4,7",0.75,0.1,960000.0,5.0,3,80
3903,AREA # 09107,Gorbea,"CR/LWAL/DUC/H:1,3",6.7,1.7,308000.0,2.0,2,70
3904,AREA # 09107,Gorbea,"CR/LWAL/DUC/H:4,7",1.0499999999999998,0.1,1155000.0,5.0,3,70
3905,AREA # 09107,Gorbea,"CR/LWAL/DUC/H:8,19",0.8999999999999999,0.0,3696000.0,12.0,4,70
3906,AREA # 09107,Gorbea,MCF/DNO/H:1,5.25,5.3,35000.0,1.0,1,70
3907,AREA # 09107,Gorbea,"MCF/DNO/H:1,3",30.300000000000004,20.2,84000.0,1.5,1,70
3908,AREA # 09107,Gorbea,"MCF/DUC/H:1,3",17.9,4.5,256000.0,2.0,2,80
3909,AREA # 09107,Gorbea,"MR/DNO/H:1,3",29.4,5.9,320000.0,2.5,2,80
3910,AREA # 09107,Gorbea,"MR/DUC/H:1,3",7.81,1.6,385000.0,2.5,2,70
3911,AREA # 09107,Gorbea,"MUR+STDRE/H:1,2",0.4600000000000001,0.4,43750.0,1.25,1,70
3912,AREA # 09107,Gorbea,"MUR/H:1,3",13.88,9.3,52500.0,1.5,1,70
3913,AREA # 09107,Gorbea,UNK,218.4,218.4,35000.0,1.0,1,70
3914,AREA # 09107,Gorbea,W+WLI/H:1,122.6,122.6,64000.0,1.0,1,80
3915,AREA # 09107,Gorbea,"W+WLI/H:1,3",1637.8000000000002,1091.9,96000.0,1.5,1,80
3916,AREA # 09107,Gorbea,W+WS/H:1,105.0,105.0,35000.0,1.0,1,70
3917,AREA # 09107,Gorbea,"W+WS/H:1,2",411.20000000000005,329.0,43750.0,1.25,1,70
3918,AREA # 09108,Lautaro,"CR+PC/LWAL/H:1,3",35.0,7.0,320000.0,2.5,2,80
3919,AREA # 09108,Lautaro,"CR/LWAL/DNO/H:1,3",103.85,26.0,256000.0,2.0,2,80
3920,AREA # 09108,Lautaro,"CR/LWAL/DNO/H:4,7",1.75,0.1,960000.0,5.0,3,80
3921,AREA # 09108,Lautaro,"CR/LWAL/DUC/H:1,3",40.25000000000001,10.1,308000.0,2.0,2,70
3922,AREA # 09108,Lautaro,"CR/LWAL/DUC/H:4,7",2.4499999999999997,0.2,1155000.0,5.0,3,70
3923,AREA # 09108,Lautaro,"CR/LWAL/DUC/H:8,19",2.0999999999999996,0.0,3696000.0,12.0,4,70
3924,AREA # 09108,Lautaro,"ER+ETR/H:1,2",0.2,0.2,43750.0,1.25,1,70
3925,AREA # 09108,Lautaro,MCF/DNO/H:1,34.2,34.2,35000.0,1.0,1,70
3926,AREA # 09108,Lautaro,"MCF/DNO/H:1,3",146.70000000000002,97.8,84000.0,1.5,1,70
3927,AREA # 09108,Lautaro,"MCF/DUC/H:1,3",81.35000000000001,20.3,256000.0,2.0,2,80
3928,AREA # 09108,Lautaro,"MR/DNO/H:1,3",142.45,28.5,320000.0,2.5,2,80
3929,AREA # 09108,Lautaro,"MR/DUC/H:1,3",37.64,7.5,385000.0,2.5,2,70
3930,AREA # 09108,Lautaro,"MUR+ADO/H:1,2",0.8,0.6,43750.0,1.25,1,70
3931,AREA # 09108,Lautaro,"MUR+STDRE/H:1,2",6.140000000000001,4.9,43750.0,1.25,1,70
3932,AREA # 09108,Lautaro,"MUR/H:1,3",88.12,58.7,52500.0,1.5,1,70
3933,AREA # 09108,Lautaro,UNK,622.0999999999999,622.1,35000.0,1.0,1,70
3934,AREA # 09108,Lautaro,W+WLI/H:1,141.8,141.8,64000.0,1.0,1,80
3935,AREA # 09108,Lautaro,"W+WLI/H:1,3",2862.5000000000005,1908.3,96000.0,1.5,1,80
3936,AREA # 09108,Lautaro,W+WS/H:1,271.1,271.1,35000.0,1.0,1,70
3937,AREA # 09108,Lautaro,"W+WS/H:1,2",721.5000000000001,577.2,43750.0,1.25,1,70
3938,AREA # 09109,Loncoche,"CR+PC/LWAL/H:1,3",33.800000000000004,6.8,320000.0,2.5,2,80
3939,AREA # 09109,Loncoche,"CR/LWAL/DNO/H:1,3",14.999999999999998,3.7,256000.0,2.0,2,80
3940,AREA # 09109,Loncoche,"CR/LWAL/DNO/H:4,7",1.5,0.1,960000.0,5.0,3,80
3941,AREA # 09109,Loncoche,"CR/LWAL/DUC/H:1,3",5.300000000000001,1.3,308000.0,2.0,2,70
3942,AREA # 09109,Loncoche,"CR/LWAL/DUC/H:4,7",2.0999999999999996,0.1,1155000.0,5.0,3,70
3943,AREA # 09109,Loncoche,"CR/LWAL/DUC/H:8,19",1.7999999999999998,0.0,3696000.0,12.0,4,70
3944,AREA # 09109,Loncoche,"ER+ETR/H:1,2",0.2,0.2,43750.0,1.25,1,70
3945,AREA # 09109,Loncoche,MCF/DNO/H:1,3.65,3.6,35000.0,1.0,1,70
3946,AREA # 09109,Loncoche,"MCF/DNO/H:1,3",61.8,41.2,84000.0,1.5,1,70
3947,AREA # 09109,Loncoche,"MCF/DUC/H:1,3",40.2,10.1,256000.0,2.0,2,80
3948,AREA # 09109,Loncoche,"MR/DNO/H:1,3",54.0,10.8,320000.0,2.5,2,80
3949,AREA # 09109,Loncoche,"MR/DUC/H:1,3",12.15,2.4,385000.0,2.5,2,70
3950,AREA # 09109,Loncoche,"MUR+ADO/H:1,2",0.8,0.6,43750.0,1.25,1,70
3951,AREA # 09109,Loncoche,"MUR+STDRE/H:1,2",0.9,0.7,43750.0,1.25,1,70
3952,AREA # 09109,Loncoche,"MUR/H:1,3",10.8,7.2,52500.0,1.5,1,70
3953,AREA # 09109,Loncoche,UNK,183.99999999999997,184.0,35000.0,1.0,1,70
3954,AREA # 09109,Loncoche,W+WLI/H:1,173.4,173.4,64000.0,1.0,1,80
3955,AREA # 09109,Loncoche,"W+WLI/H:1,3",2797.4,1864.9,96000.0,1.5,1,80
3956,AREA # 09109,Loncoche,W+WS/H:1,93.6,93.6,35000.0,1.0,1,70
3957,AREA # 09109,Loncoche,"W+WS/H:1,2",703.6,562.9,43750.0,1.25,1,70
3958,AREA # 09110,Melipeuco,"CR+PC/LWAL/H:1,3",3.0000000000000004,0.6,320000.0,2.5,2,80
3959,AREA # 09110,Melipeuco,"CR/LWAL/DNO/H:1,3",3.0,0.8,256000.0,2.0,2,80
3960,AREA # 09110,Melipeuco,"CR/LWAL/DUC/H:1,3",0.4,0.1,308000.0,2.0,2,70
3961,AREA # 09110,Melipeuco,MCF/DNO/H:1,0.1,0.1,35000.0,1.0,1,70
3962,AREA # 09110,Melipeuco,"MCF/DNO/H:1,3",5.299999999999999,3.5,84000.0,1.5,1,70
3963,AREA # 09110,Melipeuco,"MCF/DUC/H:1,3",3.4000000000000004,0.9,256000.0,2.0,2,80
3964,AREA # 09110,Melipeuco,"MR/DNO/H:1,3",4.35,0.9,320000.0,2.5,2,80
3965,AREA # 09110,Melipeuco,"MR/DUC/H:1,3",0.9900000000000001,0.2,385000.0,2.5,2,70
3966,AREA # 09110,Melipeuco,"MUR+STDRE/H:1,2",0.34,0.3,43750.0,1.25,1,70
3967,AREA # 09110,Melipeuco,"MUR/H:1,3",1.12,0.7,52500.0,1.5,1,70
3968,AREA # 09110,Melipeuco,UNK,25.799999999999997,25.8,35000.0,1.0,1,70
3969,AREA # 09110,Melipeuco,W+WLI/H:1,24.900000000000002,24.9,64000.0,1.0,1,80
3970,AREA # 09110,Melipeuco,"W+WLI/H:1,3",394.30000000000007,262.9,96000.0,1.5,1,80
3971,AREA # 09110,Melipeuco,W+WS/H:1,13.3,13.3,35000.0,1.0,1,70
3972,AREA # 09110,Melipeuco,"W+WS/H:1,2",98.70000000000002,79.0,43750.0,1.25,1,70
3973,AREA # 09111,Nueva Imperial,"CR+PC/LWAL/H:1,3",35.7,7.1,320000.0,2.5,2,80
3974,AREA # 09111,Nueva Imperial,"CR/LWAL/DNO/H:1,3",69.05,17.3,256000.0,2.0,2,80
3975,AREA # 09111,Nueva Imperial,"CR/LWAL/DNO/H:4,7",2.65,0.2,960000.0,5.0,3,80
3976,AREA # 09111,Nueva Imperial,"CR/LWAL/DUC/H:1,3",27.050000000000004,6.8,308000.0,2.0,2,70
3977,AREA # 09111,Nueva Imperial,"CR/LWAL/DUC/H:4,7",1.7499999999999998,0.1,1155000.0,5.0,3,70
3978,AREA # 09111,Nueva Imperial,"CR/LWAL/DUC/H:8,19",1.5,0.0,3696000.0,12.0,4,70
3979,AREA # 09111,Nueva Imperial,"ER+ETR/H:1,2",0.6000000000000001,0.5,43750.0,1.25,1,70
3980,AREA # 09111,Nueva Imperial,MCF/DNO/H:1,22.25,22.3,35000.0,1.0,1,70
3981,AREA # 09111,Nueva Imperial,"MCF/DNO/H:1,3",113.69999999999997,75.8,84000.0,1.5,1,70
3982,AREA # 09111,Nueva Imperial,"MCF/DUC/H:1,3",67.45,16.9,256000.0,2.0,2,80
3983,AREA # 09111,Nueva Imperial,"MR/DNO/H:1,3",107.94999999999999,21.6,320000.0,2.5,2,80
3984,AREA # 09111,Nueva Imperial,"MR/DUC/H:1,3",27.430000000000007,5.5,385000.0,2.5,2,70
3985,AREA # 09111,Nueva Imperial,"MUR+ADO/H:1,2",2.4000000000000004,1.9,43750.0,1.25,1,70
3986,AREA # 09111,Nueva Imperial,"MUR+STDRE/H:1,2",2.9800000000000004,2.4,43750.0,1.25,1,70
3987,AREA # 09111,Nueva Imperial,"MUR/H:1,3",55.54,37.0,52500.0,1.5,1,70
3988,AREA # 09111,Nueva Imperial,UNK,297.1,297.1,35000.0,1.0,1,70
3989,AREA # 09111,Nueva Imperial,W+WLI/H:1,159.0,159.0,64000.0,1.0,1,80
3990,AREA # 09111,Nueva Imperial,"W+WLI/H:1,3",2520.3,1680.2,96000.0,1.5,1,80
3991,AREA # 09111,Nueva Imperial,W+WS/H:1,146.9,146.9,35000.0,1.0,1,70
3992,AREA # 09111,Nueva Imperial,"W+WS/H:1,2",634.7,507.8,43750.0,1.25,1,70
3993,AREA # 09112,Padre lasCasas,"CR+PC/LWAL/H:1,3",113.69999999999999,22.7,320000.0,2.5,2,80
3994,AREA # 09112,Padre lasCasas,"CR/LWAL/DNO/H:1,3",276.0,69.0,256000.0,2.0,2,80
3995,AREA # 09112,Padre lasCasas,"CR/LWAL/DNO/H:4,7",186.55,12.4,960000.0,5.0,3,80
3996,AREA # 09112,Padre lasCasas,"CR/LWAL/DUC/H:1,3",86.60000000000001,21.7,308000.0,2.0,2,70
3997,AREA # 09112,Padre lasCasas,"CR/LWAL/DUC/H:4,7",117.05,7.8,1155000.0,5.0,3,70
3998,AREA # 09112,Padre lasCasas,"CR/LWAL/DUC/H:8,19",72.9,1.5,3696000.0,12.0,4,70
3999,AREA # 09112,Padre lasCasas,"ER+ETR/H:1,2",1.2000000000000002,1.0,43750.0,1.25,1,70
4000,AREA # 09112,Padre lasCasas,MCF/DNO/H:1,114.60000000000001,114.6,35000.0,1.0,1,70
4001,AREA # 09112,Padre lasCasas,"MCF/DNO/H:1,3",651.8,434.5,84000.0,1.5,1,70
4002,AREA # 09112,Padre lasCasas,"MCF/DUC/H:1,3",397.74999999999994,99.4,256000.0,2.0,2,80
4003,AREA # 09112,Padre lasCasas,"MR/DNO/H:1,3",500.40000000000003,100.1,320000.0,2.5,2,80
4004,AREA # 09112,Padre lasCasas,"MR/DUC/H:1,3",241.49000000000004,48.3,385000.0,2.5,2,70
4005,AREA # 09112,Padre lasCasas,"MUR+ADO/H:1,2",4.800000000000001,3.8,43750.0,1.25,1,70
4006,AREA # 09112,Padre lasCasas,"MUR+STDRE/H:1,2",23.64,18.9,43750.0,1.25,1,70
4007,AREA # 09112,Padre lasCasas,"MUR/H:1,3",257.52,171.7,52500.0,1.5,1,70
4008,AREA # 09112,Padre lasCasas,UNK,520.4,520.4,35000.0,1.0,1,70
4009,AREA # 09112,Padre lasCasas,W+WLI/H:1,311.90000000000003,311.9,64000.0,1.0,1,80
4010,AREA # 09112,Padre lasCasas,"W+WLI/H:1,3",3665.8999999999996,2443.9,96000.0,1.5,1,80
4011,AREA # 09112,Padre lasCasas,W+WS/H:1,244.7,244.7,35000.0,1.0,1,70
4012,AREA # 09112,Padre lasCasas,"W+WS/H:1,2",926.0999999999999,740.9,43750.0,1.25,1,70
4013,AREA # 09113,Perquenco,"CR+PC/LWAL/H:1,3",4.800000000000001,1.0,320000.0,2.5,2,80
4014,AREA # 09113,Perquenco,"CR/LWAL/DNO/H:1,3",4.799999999999999,1.2,256000.0,2.0,2,80
4015,AREA # 09113,Perquenco,"CR/LWAL/DNO/H:4,7",0.25,0.0,960000.0,5.0,3,80
4016,AREA # 09113,Perquenco,"CR/LWAL/DUC/H:1,3",3.0,0.8,308000.0,2.0,2,70
4017,AREA # 09113,Perquenco,"CR/LWAL/DUC/H:4,7",0.35,0.0,1155000.0,5.0,3,70
4018,AREA # 09113,Perquenco,"CR/LWAL/DUC/H:8,19",0.3,0.0,3696000.0,12.0,4,70
4019,AREA # 09113,Perquenco,MCF/DNO/H:1,1.55,1.6,35000.0,1.0,1,70
4020,AREA # 09113,Perquenco,"MCF/DNO/H:1,3",12.85,8.6,84000.0,1.5,1,70
4021,AREA # 09113,Perquenco,"MCF/DUC/H:1,3",8.0,2.0,256000.0,2.0,2,80
4022,AREA # 09113,Perquenco,"MR/DNO/H:1,3",12.6,2.5,320000.0,2.5,2,80
4023,AREA # 09113,Perquenco,"MR/DUC/H:1,3",3.64,0.7,385000.0,2.5,2,70
4024,AREA # 09113,Perquenco,"MUR+STDRE/H:1,2",0.24000000000000002,0.2,43750.0,1.25,1,70
4025,AREA # 09113,Perquenco,"MUR/H:1,3",5.620000000000001,3.7,52500.0,1.5,1,70
4026,AREA # 09113,Perquenco,UNK,56.6,56.6,35000.0,1.0,1,70
4027,AREA # 09113,Perquenco,W+WLI/H:1,31.200000000000003,31.2,64000.0,1.0,1,80
4028,AREA # 09113,Perquenco,"W+WLI/H:1,3",477.20000000000005,318.1,96000.0,1.5,1,80
4029,AREA # 09113,Perquenco,W+WS/H:1,27.199999999999996,27.2,35000.0,1.0,1,70
4030,AREA # 09113,Perquenco,"W+WS/H:1,2",119.80000000000001,95.8,43750.0,1.25,1,70
4031,AREA # 09114,Pitrufquén,"CR+PC/LWAL/H:1,3",19.2,3.8,320000.0,2.5,2,80
4032,AREA # 09114,Pitrufquén,"CR/LWAL/DNO/H:1,3",47.4,11.8,256000.0,2.0,2,80
4033,AREA # 09114,Pitrufquén,"CR/LWAL/DNO/H:4,7",2.0,0.1,960000.0,5.0,3,80
4034,AREA # 09114,Pitrufquén,"CR/LWAL/DUC/H:1,3",26.300000000000004,6.6,308000.0,2.0,2,70
4035,AREA # 09114,Pitrufquén,"CR/LWAL/DUC/H:4,7",2.8,0.2,1155000.0,5.0,3,70
4036,AREA # 09114,Pitrufquén,"CR/LWAL/DUC/H:8,19",2.4,0.0,3696000.0,12.0,4,70
4037,AREA # 09114,Pitrufquén,"ER+ETR/H:1,2",0.4,0.3,43750.0,1.25,1,70
4038,AREA # 09114,Pitrufquén,MCF/DNO/H:1,18.800000000000004,18.8,35000.0,1.0,1,70
4039,AREA # 09114,Pitrufquén,"MCF/DNO/H:1,3",85.05000000000001,56.7,84000.0,1.5,1,70
4040,AREA # 09114,Pitrufquén,"MCF/DUC/H:1,3",48.85000000000001,12.2,256000.0,2.0,2,80
4041,AREA # 09114,Pitrufquén,"MR/DNO/H:1,3",86.7,17.3,320000.0,2.5,2,80
4042,AREA # 09114,Pitrufquén,"MR/DUC/H:1,3",25.3,5.1,385000.0,2.5,2,70
4043,AREA # 09114,Pitrufquén,"MUR+ADO/H:1,2",1.6,1.3,43750.0,1.25,1,70
4044,AREA # 09114,Pitrufquén,"MUR+STDRE/H:1,2",1.9,1.5,43750.0,1.25,1,70
4045,AREA # 09114,Pitrufquén,"MUR/H:1,3",52.300000000000004,34.9,52500.0,1.5,1,70
4046,AREA # 09114,Pitrufquén,UNK,380.59999999999997,380.6,35000.0,1.0,1,70
4047,AREA # 09114,Pitrufquén,W+WLI/H:1,82.49999999999999,82.5,64000.0,1.0,1,80
4048,AREA # 09114,Pitrufquén,"W+WLI/H:1,3",1989.8000000000004,1326.5,96000.0,1.5,1,80
4049,AREA # 09114,Pitrufquén,W+WS/H:1,167.9,167.9,35000.0,1.0,1,70
4050,AREA # 09114,Pitrufquén,"W+WS/H:1,2",500.2000000000001,400.2,43750.0,1.25,1,70
4051,AREA # 09115,Pucón,"CR+PC/LWAL/H:1,3",31.200000000000003,6.2,320000.0,2.5,2,80
4052,AREA # 09115,Pucón,"CR/LWAL/DNO/H:1,3",31.25,7.8,256000.0,2.0,2,80
4053,AREA # 09115,Pucón,"CR/LWAL/DNO/H:4,7",18.75,1.3,960000.0,5.0,3,80
4054,AREA # 09115,Pucón,"CR/LWAL/DUC/H:1,3",9.45,2.4,308000.0,2.0,2,70
4055,AREA # 09115,Pucón,"CR/LWAL/DUC/H:4,7",23.150000000000002,1.5,1155000.0,5.0,3,70
4056,AREA # 09115,Pucón,"CR/LWAL/DUC/H:8,19",15.3,0.3,3696000.0,12.0,4,70
4057,AREA # 09115,Pucón,"ER+ETR/H:1,2",0.2,0.2,43750.0,1.25,1,70
4058,AREA # 09115,Pucón,MCF/DNO/H:1,3.8500000000000005,3.9,35000.0,1.0,1,70
4059,AREA # 09115,Pucón,"MCF/DNO/H:1,3",76.7,51.1,84000.0,1.5,1,70
4060,AREA # 09115,Pucón,"MCF/DUC/H:1,3",59.7,14.9,256000.0,2.0,2,80
4061,AREA # 09115,Pucón,"MR/DNO/H:1,3",66.45,13.3,320000.0,2.5,2,80
4062,AREA # 09115,Pucón,"MR/DUC/H:1,3",27.38,5.5,385000.0,2.5,2,70
4063,AREA # 09115,Pucón,"MUR+ADO/H:1,2",0.8,0.6,43750.0,1.25,1,70
4064,AREA # 09115,Pucón,"MUR+STDRE/H:1,2",1.4800000000000002,1.2,43750.0,1.25,1,70
4065,AREA # 09115,Pucón,"MUR/H:1,3",14.340000000000002,9.6,52500.0,1.5,1,70
4066,AREA # 09115,Pucón,UNK,229.3,229.3,35000.0,1.0,1,70
4067,AREA # 09115,Pucón,W+WLI/H:1,111.3,111.3,64000.0,1.0,1,80
4068,AREA # 09115,Pucón,"W+WLI/H:1,3",2188.9000000000005,1459.3,96000.0,1.5,1,80
4069,AREA # 09115,Pucón,W+WS/H:1,97.4,97.4,35000.0,1.0,1,70
4070,AREA # 09115,Pucón,"W+WS/H:1,2",556.1000000000001,444.9,43750.0,1.25,1,70
4071,AREA # 09116,Saavedra,"CR+PC/LWAL/H:1,3",4.2,0.8,320000.0,2.5,2,80
4072,AREA # 09116,Saavedra,"CR/LWAL/DNO/H:1,3",2.4,0.6,256000.0,2.0,2,80
4073,AREA # 09116,Saavedra,"CR/LWAL/DNO/H:4,7",0.25,0.0,960000.0,5.0,3,80
4074,AREA # 09116,Saavedra,"CR/LWAL/DUC/H:1,3",0.8,0.2,308000.0,2.0,2,70
4075,AREA # 09116,Saavedra,"CR/LWAL/DUC/H:4,7",0.35,0.0,1155000.0,5.0,3,70
4076,AREA # 09116,Saavedra,"CR/LWAL/DUC/H:8,19",0.3,0.0,3696000.0,12.0,4,70
4077,AREA # 09116,Saavedra,MCF/DNO/H:1,1.4000000000000001,1.4,35000.0,1.0,1,70
4078,AREA # 09116,Saavedra,"MCF/DNO/H:1,3",9.100000000000001,6.1,84000.0,1.5,1,70
4079,AREA # 09116,Saavedra,"MCF/DUC/H:1,3",5.4,1.4,256000.0,2.0,2,80
4080,AREA # 09116,Saavedra,"MR/DNO/H:1,3",7.95,1.6,320000.0,2.5,2,80
4081,AREA # 09116,Saavedra,"MR/DUC/H:1,3",1.5300000000000002,0.3,385000.0,2.5,2,70
4082,AREA # 09116,Saavedra,"MUR+STDRE/H:1,2",0.08,0.1,43750.0,1.25,1,70
4083,AREA # 09116,Saavedra,"MUR/H:1,3",2.24,1.5,52500.0,1.5,1,70
4084,AREA # 09116,Saavedra,UNK,7.699999999999999,7.7,35000.0,1.0,1,70
4085,AREA # 09116,Saavedra,W+WLI/H:1,70.10000000000001,70.1,64000.0,1.0,1,80
4086,AREA # 09116,Saavedra,"W+WLI/H:1,3",449.00000000000006,299.3,96000.0,1.5,1,80
4087,AREA # 09116,Saavedra,W+WS/H:1,11.2,11.2,35000.0,1.0,1,70
4088,AREA # 09116,Saavedra,"W+WS/H:1,2",113.00000000000001,90.4,43750.0,1.25,1,70
4089,AREA # 09117,Teodoro Schmidt,"CR+PC/LWAL/H:1,3",5.8,1.2,320000.0,2.5,2,80
4090,AREA # 09117,Teodoro Schmidt,"CR/LWAL/DNO/H:1,3",1.2,0.3,256000.0,2.0,2,80
4091,AREA # 09117,Teodoro Schmidt,"CR/LWAL/DNO/H:4,7",0.5,0.0,960000.0,5.0,3,80
