,id,Region,Taxonomy,Dwellings,Buildings,Repl_cost_USD_m2,No_of_storeys,Dwl_per_storey,Dwl_area_m2
79,AREA # 01201,Arica,W+WLI/H:1,930.5000000000001,930.5,64000.0,1.0,1,80
80,AREA # 01201,Arica,"W+WLI/H:1,3",5159.099999999999,3439.4,96000.0,1.5,1,80
81,AREA # 01201,Arica,W+WS/H:1,304.0,304.0,35000.0,1.0,1,70
82,AREA # 01201,Arica,"W+WS/H:1,2",1321.8999999999999,1057.5,43750.0,1.25,1,70
83,AREA # 01301,Putre,"CR+PC/LWAL/H:1,3",3.2,0.6,320000.0,2.5,2,80
84,AREA # 01301,Putre,"CR/LWAL/DNO/H:1,3",5.4,1.4,256000.0,2.0,2,80
85,AREA # 01301,Putre,"CR/LWAL/DUC/H:1,3",0.7999999999999999,0.2,308000.0,2.0,2,70
86,AREA # 01301,Putre,ER+ETR/H:1,6.1,6.1,35000.0,1.0,1,70
87,AREA # 01301,Putre,"ER+ETR/H:1,2",19.6,15.7,43750.0,1.25,1,70
88,AREA # 01301,Putre,MCF/DNO/H:1,1.0,1.0,35000.0,1.0,1,70
89,AREA # 01301,Putre,"MCF/DNO/H:1,3",7.5,5.0,84000.0,1.5,1,70
90,AREA # 01301,Putre,"MCF/DUC/H:1,3",4.2,1.1,256000.0,2.0,2,80
91,AREA # 01301,Putre,"MR/DNO/H:1,3",6.2,1.2,320000.0,2.5,2,80
92,AREA # 01301,Putre,"MR/DUC/H:1,3",1.28,0.3,385000.0,2.5,2,70
93,AREA # 01301,Putre,MUR+ADO/H:1,10.7,10.7,35000.0,1.0,1,70
94,AREA # 01301,Putre,"MUR+ADO/H:1,2",78.4,62.7,43750.0,1.25,1,70
95,AREA # 01301,Putre,"MUR+STDRE/H:1,2",0.58,0.5,43750.0,1.25,1,70
96,AREA # 01301,Putre,"MUR/H:1,3",2.8400000000000003,1.9,52500.0,1.5,1,70
97,AREA # 01301,Putre,UNK,17.9,17.9,35000.0,1.0,1,70
98,AREA # 01301,Putre,W+WLI/H:1,7.8,7.8,64000.0,1.0,1,80
99,AREA # 01301,Putre,"W+WLI/H:1,3",8.0,5.3,96000.0,1.5,1,80
100,AREA # 01301,Putre,W+WS/H:1,2.5,2.5,35000.0,1.0,1,70
101,AREA # 01301,Putre,"W+WS/H:1,2",2.0,1.6,43750.0,1.25,1,70
102,AREA # 02101,Antofagasta,"CR+PC/LWAL/H:1,3",6333.200000000001,1266.6,320000.0,2.5,2,80
103,AREA # 02101,Antofagasta,"CR/LWAL/DNO/H:1,3",10989.25,2747.3,256000.0,2.0,2,80
104,AREA # 02101,Antofagasta,"CR/LWAL/DNO/H:4,7",3228.0,215.2,960000.0,5.0,3,80
105,AREA # 02101,Antofagasta,"CR/LWAL/DUC/H:1,3",1020.6500000000002,255.2,308000.0,2.0,2,70
106,AREA # 02101,Antofagasta,"CR/LWAL/DUC/H:4,7",1509.2,100.6,1155000.0,5.0,3,70
107,AREA # 02101,Antofagasta,"CR/LWAL/DUC/H:8,19",1286.3999999999999,26.8,3696000.0,12.0,4,70
108,AREA # 02101,Antofagasta,ER+ETR/H:1,0.3,0.3,35000.0,1.0,1,70
109,AREA # 02101,Antofagasta,"ER+ETR/H:1,2",20.800000000000004,16.6,43750.0,1.25,1,70
110,AREA # 02101,Antofagasta,MCF/DNO/H:1,252.65000000000003,252.7,35000.0,1.0,1,70
111,AREA # 02101,Antofagasta,"MCF/DNO/H:1,3",11769.349999999999,7846.2,84000.0,1.5,1,70
112,AREA # 02101,Antofagasta,"MCF/DUC/H:1,3",8309.600000000002,2077.4,256000.0,2.0,2,80
113,AREA # 02101,Antofagasta,"MR/DNO/H:1,3",8625.1,1725.0,320000.0,2.5,2,80
114,AREA # 02101,Antofagasta,"MR/DUC/H:1,3",1998.26,399.7,385000.0,2.5,2,70
115,AREA # 02101,Antofagasta,MUR+ADO/H:1,0.7,0.7,35000.0,1.0,1,70
116,AREA # 02101,Antofagasta,"MUR+ADO/H:1,2",83.20000000000002,66.6,43750.0,1.25,1,70
117,AREA # 02101,Antofagasta,"MUR+STDRE/H:1,2",1127.96,902.4,43750.0,1.25,1,70
118,AREA # 02101,Antofagasta,"MUR/H:1,3",2829.38,1886.3,52500.0,1.5,1,70
119,AREA # 02101,Antofagasta,UNK,756.4,756.4,35000.0,1.0,1,70
120,AREA # 02101,Antofagasta,W+WLI/H:1,676.5,676.5,64000.0,1.0,1,80
121,AREA # 02101,Antofagasta,"W+WLI/H:1,3",3774.9000000000005,2516.6,96000.0,1.5,1,80
122,AREA # 02101,Antofagasta,W+WS/H:1,370.1,370.1,35000.0,1.0,1,70
123,AREA # 02101,Antofagasta,"W+WS/H:1,2",981.1000000000001,784.9,43750.0,1.25,1,70
124,AREA # 02102,Mejillones,"CR+PC/LWAL/H:1,3",203.20000000000002,40.6,320000.0,2.5,2,80
125,AREA # 02102,Mejillones,"CR/LWAL/DNO/H:1,3",237.75,59.4,256000.0,2.0,2,80
126,AREA # 02102,Mejillones,"CR/LWAL/DNO/H:4,7",12.0,0.8,960000.0,5.0,3,80
127,AREA # 02102,Mejillones,"CR/LWAL/DUC/H:1,3",13.45,3.4,308000.0,2.0,2,70
128,AREA # 02102,Mejillones,"CR/LWAL/DUC/H:4,7",2.1,0.1,1155000.0,5.0,3,70
129,AREA # 02102,Mejillones,"CR/LWAL/DUC/H:8,19",1.8,0.0,3696000.0,12.0,4,70
130,AREA # 02102,Mejillones,"ER+ETR/H:1,2",0.2,0.2,43750.0,1.25,1,70
131,AREA # 02102,Mejillones,MCF/DNO/H:1,2.95,3.0,35000.0,1.0,1,70
132,AREA # 02102,Mejillones,"MCF/DNO/H:1,3",346.55,231.0,84000.0,1.5,1,70
133,AREA # 02102,Mejillones,"MCF/DUC/H:1,3",220.4,55.1,256000.0,2.0,2,80
134,AREA # 02102,Mejillones,"MR/DNO/H:1,3",265.05,53.0,320000.0,2.5,2,80
135,AREA # 02102,Mejillones,"MR/DUC/H:1,3",54.989999999999995,11.0,385000.0,2.5,2,70
136,AREA # 02102,Mejillones,"MUR+ADO/H:1,2",0.8,0.6,43750.0,1.25,1,70
137,AREA # 02102,Mejillones,"MUR+STDRE/H:1,2",30.44,24.4,43750.0,1.25,1,70
138,AREA # 02102,Mejillones,"MUR/H:1,3",67.32,44.9,52500.0,1.5,1,70
139,AREA # 02102,Mejillones,UNK,21.6,21.6,35000.0,1.0,1,70
140,AREA # 02102,Mejillones,W+WLI/H:1,35.5,35.5,64000.0,1.0,1,80
141,AREA # 02102,Mejillones,"W+WLI/H:1,3",231.70000000000002,154.5,96000.0,1.5,1,80
142,AREA # 02102,Mejillones,W+WS/H:1,11.9,11.9,35000.0,1.0,1,70
143,AREA # 02102,Mejillones,"W+WS/H:1,2",59.300000000000004,47.4,43750.0,1.25,1,70
144,AREA # 02104,Taltal,"CR+PC/LWAL/H:1,3",211.8,42.4,320000.0,2.5,2,80
145,AREA # 02104,Taltal,"CR/LWAL/DNO/H:1,3",273.6,68.4,256000.0,2.0,2,80
146,AREA # 02104,Taltal,"CR/LWAL/DUC/H:1,3",14.9,3.7,308000.0,2.0,2,70
147,AREA # 02104,Taltal,"ER+ETR/H:1,2",1.4000000000000001,1.1,43750.0,1.25,1,70
148,AREA # 02104,Taltal,MCF/DNO/H:1,4.75,4.8,35000.0,1.0,1,70
149,AREA # 02104,Taltal,"MCF/DNO/H:1,3",364.45,243.0,84000.0,1.5,1,70
150,AREA # 02104,Taltal,"MCF/DUC/H:1,3",227.95000000000002,57.0,256000.0,2.0,2,80
151,AREA # 02104,Taltal,"MR/DNO/H:1,3",279.3,55.9,320000.0,2.5,2,80
152,AREA # 02104,Taltal,"MR/DUC/H:1,3",56.49,11.3,385000.0,2.5,2,70
153,AREA # 02104,Taltal,"MUR+ADO/H:1,2",5.6000000000000005,4.5,43750.0,1.25,1,70
154,AREA # 02104,Taltal,"MUR+STDRE/H:1,2",34.24,27.4,43750.0,1.25,1,70
155,AREA # 02104,Taltal,"MUR/H:1,3",77.52000000000001,51.7,52500.0,1.5,1,70
156,AREA # 02104,Taltal,UNK,55.3,55.3,35000.0,1.0,1,70
157,AREA # 02104,Taltal,W+WLI/H:1,41.2,41.2,64000.0,1.0,1,80
158,AREA # 02104,Taltal,"W+WLI/H:1,3",675.4000000000001,450.3,96000.0,1.5,1,80
159,AREA # 02104,Taltal,W+WS/H:1,29.5,29.5,35000.0,1.0,1,70
160,AREA # 02104,Taltal,"W+WS/H:1,2",170.60000000000002,136.5,43750.0,1.25,1,70
161,AREA # 02201,Calama,"CR+PC/LWAL/H:1,3",2970.9000000000005,594.2,320000.0,2.5,2,80
162,AREA # 02201,Calama,"CR/LWAL/DNO/H:1,3",3853.25,963.3,256000.0,2.0,2,80
163,AREA # 02201,Calama,"CR/LWAL/DNO/H:4,7",308.65,20.6,960000.0,5.0,3,80
164,AREA # 02201,Calama,"CR/LWAL/DUC/H:1,3",395.75000000000006,98.9,308000.0,2.0,2,70
165,AREA # 02201,Calama,"CR/LWAL/DUC/H:4,7",118.35,7.9,1155000.0,5.0,3,70
166,AREA # 02201,Calama,"CR/LWAL/DUC/H:8,19",80.1,1.7,3696000.0,12.0,4,70
167,AREA # 02201,Calama,ER+ETR/H:1,86.7,86.7,35000.0,1.0,1,70
168,AREA # 02201,Calama,"ER+ETR/H:1,2",575.4000000000001,460.3,43750.0,1.25,1,70
169,AREA # 02201,Calama,MCF/DNO/H:1,359.9,359.9,35000.0,1.0,1,70
170,AREA # 02201,Calama,"MCF/DNO/H:1,3",5843.5,3895.7,84000.0,1.5,1,70
171,AREA # 02201,Calama,"MCF/DUC/H:1,3",3622.5,905.6,256000.0,2.0,2,80
172,AREA # 02201,Calama,"MR/DNO/H:1,3",4567.250000000001,913.5,320000.0,2.5,2,80
